Category ID,Category,Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
1,Safety and Infection Control,What is sanitation?,The cleaning process that removes visible debris and reduces microorganisms,Complete destruction of microorganisms,Heating tools,Air drying tools
1,Safety and Infection Control,What is disinfection?,The use of chemicals to destroy most microorganisms on non-porous surfaces,Removing dirt only,Sterilizing skin,Air drying
1,Safety and Infection Control,What is sterilization?,The complete destruction of all microorganisms including spores,Cleaning debris,Reducing bacteria,Using soap
1,Safety and Infection Control,Which level kills spores?,Sterilization,Disinfection,Sanitation,Cleaning
1,Safety and Infection Control,What type of items must be sterilized?,Critical items that penetrate skin (rare in esthetics),Reusable towels,Non-porous tools only,Disposable items
1,Safety and Infection Control,What is PPE?,Personal Protective Equipment,Professional Product Equipment,Protective Practice Essentials,Personal Prevention Elements
1,Safety and Infection Control,What is an example of PPE?,"Gloves, masks, and eye protection",Towels,Cotton pads,Wax sticks
1,Safety and Infection Control,What is OSHA?,Occupational Safety and Health Administration,Health Beauty Board,Sanitation Council,Medical License Agency
1,Safety and Infection Control,What is MSDS/SDS?,Safety Data Sheets for chemical handling,Salon Data Sheets,Medical Skin Documents,Sanitation Data System
1,Safety and Infection Control,What is cross-contamination?,Transfer of bacteria from one person/object to another,Tool cleaning,Using gloves,Applying lotion
1,Safety and Infection Control,What is universal precaution?,Treat all blood/body fluids as infectious,Wash hands daily,Use lotion,Clean weekly
1,Safety and Infection Control,What is a pathogen?,Disease-causing microorganism,Dead skin cell,Oil gland,Sweat
1,Safety and Infection Control,What is bacteria?,Single-celled microorganisms,Skin cells,Viruses only,Chemicals
1,Safety and Infection Control,What are viruses?,Microorganisms that require a host to reproduce,Harmless bacteria,Dead cells,Oils
1,Safety and Infection Control,What are fungi?,Organisms like yeast and mold,Viruses,Bacteria,Skin layers
1,Safety and Infection Control,What is a disinfectant?,Chemical used to kill microbes on surfaces,Skin lotion,Cleanser,Water
1,Safety and Infection Control,What is required for disinfectant effectiveness?,Proper contact time,Drying time,Heating time,Storage time
1,Safety and Infection Control,What is biohazard waste?,"Contaminated materials, blood, and bodily fluids",Paper towels,Water,Clean cotton
1,Safety and Infection Control,Where is biohazard waste disposed?,Approved biohazard containers,Trash,Sink,Laundry
